ID,Tittle,Category ID,Store Id,RedirectUrl,Description,,type of coupon,MetaTittle,MetaKeyword,MetaDescription,Code,Image,ExpiryDate,Position,Status,UserID,Date,UpdateDate,ShowOnHome,TittlePostFix,Prefix,Postfix,Tag,Details,Desp
108,0.4,2,25,www.icebreaker.com,Save 40% on Men's Tech Lite Long Sleeve T-Shirt,,,,,,,," January 03, 2025"
109,Free delivery,2,25,www.icebreaker.com,Free delivery from 85€ purchase,,,,,,,,
110,0.3,2,26,www.aldoshoes.fr,30% discount,Up to 30% off loafers and boat shoes,,,,,,,45854
,5,2,26,www.aldoshoes.fr,5€ reduction by subscribing to the newsletter,,,,,,,,
,Free delivery,2,26,www.aldoshoes.fr,Get free delivery on every order,,,,,,,,
,0.25,2,26,www.aldoshoes.fr,Save 25% on Bags purchases,,,,,,,," July 17, 2025"
,"49,99€",2,26,www.aldoshoes.fr,Sandals and bare feet from €49.99,,,,,,,,
,0.2,2,27,koukaparis.com,20% discount,Up to 20% off women's dresses.,,,,,,,46183
,0.73,2,27,koukaparis.com,Up to 73% off boots,,,,,,,,45973
,35,2,27,koukaparis.com,Short dress from €35,,,,,,,,46014
,Free delivery,2,27,koukaparis.com,Free delivery from 80€,,,,,,,,
,27,2,27,koukaparis.com,Jacket and coats from €27,,,,,,,,45889
,0.2,3,29,www.a-lovely-day.com,20% Code Promo A Lovely Day,Save 20% when you buy 3 boxes,,,,,LIBRE20,,
,Cheap Price,3,29,www.a-lovely-day.com,Urinary incontinence protection for men from €3.99,,,,,,,,
,Free delivery,3,29,www.a-lovely-day.com,Free delivery on your order,,,,,,,,
,0.4,3,30,www.bbryance.fr,40% off + 1 toothpaste OFFER,,,,,,SPOUT40,,45453
,0.2,3,30,www.bbryance.fr,20% discount code on high-tech devices,,,,,,TECH20,,45463
,0.1,3,30,www.bbryance.fr,10% off an electric toothbrush,,,,,,SONIC10,,45473
,0.44,3,30,www.bbryance.fr,Up to 44% off teeth whitening kits!,,,,,,,," July 08, 2026"
,0.14000000000000001,3,30,www.bbryance.fr,14% Off Teeth Whitening Strips,,,,,,,,45883
,51,3,31,www.cbdsense.fr,CBD Body Care product from €51,,,,,,,,45979
,Free delivery,3,31,www.cbdsense.fr,Get free delivery on every order,,,,,,,,
,701,3,31,www.cbdsense.fr,Harmony E-liquid 100mg CBD – Classic Hemp (10ml) from €701,,,,,,,," June 20, 2035"
,"19,50€",3,31,www.cbdsense.fr,CBD capsules from €19.50,,,,,,,,45728
